userid,itemid,rating,Time,Location,Companion
1123,tt1499658,2,NA,NA,NA
1123,tt0405422,4,NA,NA,NA
1123,tt0109830,5,NA,NA,NA
1123,tt0088763,3,NA,NA,NA
1123,tt0133093,3,NA,NA,NA
1090,tt0800369,3,NA,NA,NA
1090,tt0407304,2,NA,NA,NA
1090,tt0266543,4,NA,NA,NA
1090,tt1632708,4,NA,NA,NA
1090,tt4052394,3,NA,NA,NA
1090,tt1596343,2,NA,NA,NA
1090,tt2574698,2,NA,NA,NA
1090,tt0454848,2,NA,NA,NA
1088,tt0405422,4,NA,NA,NA
1088,tt0378194,4,NA,NA,NA
1088,tt0211915,5,NA,NA,NA
1088,tt0169547,5,NA,NA,NA
1088,tt0133093,5,NA,NA,NA
1110,tt0454876,3,NA,NA,NA
1110,tt0181689,3,NA,NA,NA
1110,tt0120912,3,NA,NA,NA
1110,tt0356910,3,NA,NA,NA
1110,tt3637328,3,NA,NA,NA
1110,tt1657301,3,NA,NA,NA
1110,tt1657301,3,NA,NA,NA
1110,tt0319262,3,NA,NA,NA
1017,tt1190080,5,NA,NA,NA
1017,tt1369829,5,NA,NA,NA
1017,tt0454876,5,NA,NA,NA
1017,tt0181689,5,NA,NA,NA
1017,tt0120912,5,NA,NA,NA
1021,tt0454876,4,NA,NA,NA
1021,tt0319262,4,NA,NA,NA
1021,tt0120338,5,NA,NA,NA
1021,tt0289879,4,NA,NA,NA
1021,tt1099212,5,NA,NA,NA
1021,tt0114148,2,NA,NA,NA
1021,tt0088763,2,NA,NA,NA
1021,tt0110475,2,NA,NA,NA
1095,tt2096673,5,NA,NA,NA
1095,tt0111161,5,NA,NA,NA
1095,tt0147800,5,NA,NA,NA
1095,tt1478338,5,NA,NA,NA
1095,ttnanana2,4,NA,NA,NA
1095,tt3254460,1,NA,NA,NA
1095,tt2557490,1,NA,NA,NA
1095,tt1924435,1,NA,NA,NA
1095,tt0138097,1,NA,NA,NA
1095,tt3510098,1,NA,NA,NA
1106,tt1657301,4,NA,NA,NA
1106,tt0319262,5,NA,NA,NA
1106,tt3793764,5,NA,NA,NA
1106,tt0800369,5,NA,NA,NA
1106,tt0407304,4,NA,NA,NA
1106,tt0120912,2,NA,NA,NA
1106,tt0356910,2,NA,NA,NA
1106,tt3637328,2,NA,NA,NA
1102,tt0181689,4,NA,NA,NA
1102,tt1657301,4,NA,NA,NA
1102,tt0319262,5,NA,NA,NA
1102,tt0800369,5,NA,NA,NA
1102,tt0268380,4,NA,NA,NA
1102,tt3637328,3,NA,NA,NA
1102,tt0266543,3,NA,NA,NA
1102,tt0327084,3,NA,NA,NA
1117,tt3254460,3,NA,NA,NA
1117,tt0110357,4,NA,NA,NA
1117,tt0462538,4,NA,NA,NA
1117,tt0405422,5,NA,NA,NA
1117,tt1707386,4,NA,NA,NA
1117,tt0120338,5,NA,NA,NA
1117,tt3510098,4,NA,NA,NA
1117,tt1375666,5,NA,NA,NA
1117,tt0133093,5,NA,NA,NA
1091,tt3793764,3,NA,NA,NA
1091,tt2096673,4,NA,NA,NA
1091,tt0462538,3,NA,NA,NA
1091,tt0114369,5,NA,NA,NA
1091,tt0111161,5,NA,NA,NA
1091,tt0993846,4,NA,NA,NA
1091,tt0088763,4,NA,NA,NA
1091,tt0289879,3,NA,NA,NA
