[INFO ] 2016-02-02 06:54:26,978 -- WorkingPath: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\
[INFO ] 2016-02-02 06:54:26,996 -- Your original rating data path: C:\Users\irecs\Desktop\Data\music\ratings.txt
[INFO ] 2016-02-02 06:54:26,997 -- Current working path: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\
[WARN ] 2016-02-02 06:54:27,007 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2016-02-02 06:54:27,731 -- Data transformaton completed (from Compact to Binary format). See new rating file: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:27,760 -- Dataset: ...ARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:27,765 -- DataPath: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:28,354 -- Rating data set has been successfully loaded.
[INFO ] 2016-02-02 06:54:28,371 -- 
/***************************************************************************************************************************************************
 *
 * Dataset: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
 * User amount: 42
 * Item amount: 139
 * Rate amount: 3938
 * Context dimensions: 8 (drivingstyle, landscape, mood, naturalphenomena, roadtype, sleepiness, trafficconditions, weather)
 * Context conditions: 34 (drivingstyle: 3, landscape: 5, mood: 5, naturalphenomena: 5, roadtype: 4, sleepiness: 3, trafficconditions: 4, weather: 5)
 * Context situations: 27
 * Contextual Data density: 8.0978%
 * Scale distribution: [0.0 x 122, 3.0 x 652, 2.0 x 705, 1.0 x 1452, 4.0 x 513, 5.0 x 494]
 * 
 * Average value of all ratings: 2.447647
 * Standard deviation of all ratings: 1.474440
 * Mode of all rating values: 1.000000
 * Median of all rating values: 2.000000
 *
 ***************************************************************************************************************************************************/
[INFO ] 2016-02-02 06:54:28,372 -- Dataset: ...ARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:28,372 -- DataPath: C:\Users\irecs\Desktop\Data\music\CARSKit.Workspace\ratings_binary.txt
[INFO ] 2016-02-02 06:54:28,630 -- Rating data set has been successfully loaded.
[INFO ] 2016-02-02 06:54:28,633 -- With Setup: cv -k 5 -p on --rand-seed 1 --test-view all
[DEBUG] 2016-02-02 06:54:28,728 -- Fold [1]: training amount: 3029, test amount: 753
[DEBUG] 2016-02-02 06:54:28,751 -- Fold [2]: training amount: 3025, test amount: 757
[DEBUG] 2016-02-02 06:54:28,764 -- Fold [3]: training amount: 3023, test amount: 759
[DEBUG] 2016-02-02 06:54:28,781 -- Fold [4]: training amount: 3025, test amount: 757
[DEBUG] 2016-02-02 06:54:28,797 -- Fold [5]: training amount: 3026, test amount: 756
[DEBUG] 2016-02-02 06:54:28,980 -- CAMF_C fold [2] iter 1: loss = 3378.7522, delta_loss = -3378.7522, learn_rate = 2.0E-10
[DEBUG] 2016-02-02 06:54:28,987 -- CAMF_C fold [3] iter 1: loss = 3178.8167, delta_loss = -3178.8167, learn_rate = 2.0E-10
[DEBUG] 2016-02-02 06:54:28,989 -- CAMF_C fold [2] iter 2: loss = 3378.7507, delta_loss = 0.0014837222, learn_rate = 2.0E-10
[DEBUG] 2016-02-02 06:54:28,994 -- CAMF_C fold [3] iter 2: loss = 3178.8167, delta_loss = 3.648791E-5, learn_rate = 2.0E-10
[DEBUG] 2016-02-02 06:54:28,997 -- CAMF_C fold [5] iter 1: loss = 3360.7961, delta_loss = -3360.7961, learn_rate = 2.0E-10
[DEBUG] 2016-02-02 06:54:29,001 -- CAMF_C fold [3] iter 3: loss = 3178.8164, delta_loss = 3.7090114E-5, learn_rate = 2.1E-10
[DEBUG] 2016-02-02 06:54:29,005 -- CAMF_C fold [5] iter 2: loss = 3360.7957, delta_loss = 5.208148E-4, learn_rate = 2.0E-10
[DEBUG] 2016-02-02 06:54:29,006 -- CAMF_C fold [3] iter 4: loss = 3178.8164, delta_loss = 3.894463E-5, learn_rate = 2.2050001E-10
[DEBUG] 2016-02-02 06:54:29,012 -- CAMF_C fold [5] iter 3: loss = 3360.7952, delta_loss = 5.335022E-4, learn_rate = 2.1E-10
[DEBUG] 2016-02-02 06:54:29,018 -- CAMF_C fold [3] iter 5: loss = 3178.8164, delta_loss = 4.0891617E-5, learn_rate = 2.3152501E-10
[DEBUG] 2016-02-02 06:54:29,018 -- CAMF_C fold [5] iter 4: loss = 3360.7944, delta_loss = 5.601728E-4, learn_rate = 2.2050001E-10
[DEBUG] 2016-02-02 06:54:29,066 -- CAMF_C fold [2] iter 3: loss = 3378.7493, delta_loss = 0.001520473, learn_rate = 2.1E-10
[DEBUG] 2016-02-02 06:54:29,066 -- CAMF_C fold [5] iter 5: loss = 3360.794, delta_loss = 5.8817654E-4, learn_rate = 2.3152501E-10
[DEBUG] 2016-02-02 06:54:29,067 -- CAMF_C fold [4] iter 1: loss = 3122.145, delta_loss = -3122.145, learn_rate = 2.0E-10
[DEBUG] 2016-02-02 06:54:29,072 -- CAMF_C fold [2] iter 4: loss = 3378.7478, delta_loss = 0.0015964834, learn_rate = 2.2050001E-10
[DEBUG] 2016-02-02 06:54:29,072 -- CAMF_C fold [5] iter 6: loss = 3360.7935, delta_loss = 6.175801E-4, learn_rate = 2.4310126E-10
[DEBUG] 2016-02-02 06:54:29,074 -- CAMF_C fold [4] iter 2: loss = 3122.145, delta_loss = 2.8380196E-5, learn_rate = 2.0E-10
