userid,itemid,rating,Dimension,Condition
1004,tt0088763,5,Time,Weekday
1004,tt0088763,5,Location,Cinema
1004,tt0088763,5,Companion,Alone
1062,tt0088763,3,Time,Weekday
1062,tt0088763,3,Location,Cinema
1062,tt0088763,3,Companion,Alone
1116,tt0088763,3,Time,Weekday
1116,tt0088763,3,Location,Cinema
1116,tt0088763,3,Companion,Alone
1033,tt0120338,5,Time,Weekday
1033,tt0120338,5,Location,Cinema
1033,tt0120338,5,Companion,Family
1071,tt0120338,4,Time,Weekday
1071,tt0120338,4,Location,Cinema
1071,tt0120338,4,Companion,Family
1031,tt0120338,4,Time,Weekday
1031,tt0120338,4,Location,Cinema
1031,tt0120338,4,Companion,Family
1052,tt0088763,5,Time,Weekday
1052,tt0088763,5,Location,Home
1052,tt0088763,5,Companion,Alone
1032,tt0088763,4,Time,Weekday
1032,tt0088763,4,Location,Home
1032,tt0088763,4,Companion,Alone
1050,tt0120338,4,Time,Weekday
1050,tt0120338,4,Location,Home
1050,tt0120338,4,Companion,Family
1071,tt0120338,4,Time,Weekday
1071,tt0120338,4,Location,Home
1071,tt0120338,4,Companion,Family
1058,tt0120338,1,Time,Weekday
1058,tt0120338,1,Location,Home
1058,tt0120338,1,Companion,Family
1008,tt0088763,4,Time,Weekend
1008,tt0088763,4,Location,Cinema
1008,tt0088763,4,Companion,Alone
1047,tt0088763,2,Time,Weekend
1047,tt0088763,2,Location,Cinema
1047,tt0088763,2,Companion,Alone
1063,tt0120338,4,Time,Weekend
1063,tt0120338,4,Location,Cinema
1063,tt0120338,4,Companion,Family
1115,tt0120338,5,Time,Weekend
1115,tt0120338,5,Location,Cinema
1115,tt0120338,5,Companion,Family
1070,tt0120338,5,Time,Weekend
1070,tt0120338,5,Location,Cinema
1070,tt0120338,5,Companion,Family
1077,tt0088763,4,Time,Weekend
1077,tt0088763,4,Location,Home
1077,tt0088763,4,Companion,Alone
1045,tt0120338,4,Time,Weekend
1045,tt0120338,4,Location,Home
1045,tt0120338,4,Companion,Family
1008,tt0120338,4,Time,Weekend
1008,tt0120338,4,Location,Home
1008,tt0120338,4,Companion,Family
1070,tt0120338,5,Time,Weekend
1070,tt0120338,5,Location,Home
1070,tt0120338,5,Companion,Family
